name,moves,fen
Alma,"11-15,23-19,8-11,22-17,3-8","B:W17,19,21,24,25,26,27,28,29,30,31,32:B1,2,4,5,6,7,8,9,10,11,12,15"
Ayrshire Lassie,"11-15,24-20","B:W20,21,22,23,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,9,10,12,15"
Black Doctor,"11-15,23-19,8-11,22-17,9-13,17-14,10-17,19-10,7-14","W:W21,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,11,12,13,14,15"
Boston,"11-15,22-17,9-13,17-14","B:W14,21,23,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,10,12,13,15"
Centre,"11-15,23-18","B:W18,21,22,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,9,10,12,15"
Slip Cross,"11-15,23-18,8-11,27-23,11-16","W:W18,21,22,23,24,25,26,28,29,30,31,32:B1,2,3,4,5,6,7,9,10,12,15,16"
Defiance,"11-15,23-19,9-14,27-23","B:W19,21,22,23,24,25,26,28,29,30,31,32:B1,2,3,4,5,6,7,8,10,12,14,15"
Douglas,"11-15,22-17,8-11,17-13,4-8,25-22","B:W13,21,22,23,24,26,27,28,29,30,31,32:B1,2,3,5,6,7,8,9,10,11,12,15"
Dyke,"11-15,22-17,15-19","W:W17,21,23,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,9,10,12,19"
Fife,"11-15,23-19,9-14,22-17,5-9","W:W17,19,21,24,25,26,27,28,29,30,31,32:B1,2,3,4,6,7,8,9,10,12,14,15"
Glasgow,"11-15,23-19,8-11,22-17,11-16","W:W17,19,21,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,9,10,12,15,16"
Glasgow-Whitler,"11-15,23-19,7-11,22-17,9-14","W:W17,19,21,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,8,10,11,12,14,15"
Laird and Lady,"11-15,23-19,8-11,22-17,9-13","W:W17,19,21,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,10,11,12,13,15"
Maid of the Mill,"11-15,22-17,8-11,17-13,15-18","W:W13,21,23,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,9,10,11,12,18"
Nailor,"11-15,23-19,8-11,26-23","B:W19,21,22,23,24,25,27,28,29,30,31,32:B1,2,3,4,5,6,7,9,10,11,12,15"
Old Fourteenth,"11-15,23-19,8-11,22-17,4-8","W:W17,19,21,24,25,26,27,28,29,30,31,32:B1,2,3,5,6,7,8,9,10,11,12,15"
Pioneer,"11-15,22-17,8-11,25-22","B:W17,21,22,23,24,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,9,10,11,12,15"
Second Double Corner,"11-15,24-19","B:W19,21,22,23,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,9,10,12,15"
Single Corner,"11-15,22-18","B:W18,21,23,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,9,10,12,15"
Souter,"11-15,23-19,9-14,22-17,6-9","W:W17,19,21,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,7,8,9,10,12,14,15"
Switcher,"11-15,21-17","B:W17,22,23,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,9,10,12,15"
Tillicoultry,"11-15,23-19,8-11,22-18","B:W18,19,21,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,9,10,11,12,15"
Wagram,"11-15,22-17,9-13,24-20","B:W17,20,21,23,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,10,12,13,15"
Waterloo,"11-15,23-18,8-11,18-14","B:W14,21,22,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,9,10,11,12,15"
Whilter,"11-15,23-19,9-14,22-17,7-11","W:W17,19,21,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,8,10,11,12,14,15"
Whilter-Exchange,"11-15,23-19,7-11,22-18","B:W18,19,21,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,8,9,10,11,12,15"
White Dyke,"11-15,22-17,8-11,17-14","B:W14,21,23,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,9,10,11,12,15"
Will-o-the-Wisp,"11-15,23-19,9-13","W:W19,21,22,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,10,12,13,15"
Edinburgh,"10-15,23-19","B:W19,21,22,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,9,11,12,15"
Kelso,"10-15,22-17","B:W17,21,23,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,9,11,12,15"
Denny,"10-14,22-17","B:W17,21,23,24,25,26,27,28,29,30,31,32:B1,2,3,4,5,6,7,8,9,11,12,14"
Starting position, "", "W:W31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20:H0:F1"
